,Product Name,Product Price,Stars,Number of Reviws,Link
47,"Intercom Kit for Ring Video Doorbell Wired, Video Doorbell (2020 Release), Video Doorbell 2, Video Doorbell 3, Video Doorbell 3 Plus, Video Doorbell 4, Video Doorbell Pro and Video Doorbell Pro 2","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$17.99</span>",4.0 out of 5 stars,131,https://www.amazon.com//Intercom-Ring-Video-Doorbell-Release/dp/B097Z22VNS/ref=zg_bsnr_amazon-devices_18/143-0403749-0028266?pd_rd_i=B097Z22VNS&psc=1
48,"All-new Fire 7 tablet, 7” display, 16 GB, latest model (2022 release), Denim, without lockscreen ads","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$74.99</span>",3.8 out of 5 stars,19,https://www.amazon.com//Fire-7-Tablet/dp/B09Z9S1TNQ/ref=zg_bsnr_amazon-devices_19/143-0403749-0028266?pd_rd_i=B09Z9S1TNQ&psc=1
49,"Fire HD 8 Kids Pro tablet, 8"" HD 32 GB (Doodle) + Sleeve + Power Charger","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$189.97</span>",4.7 out of 5 stars,"11,038",https://www.amazon.com//tablet-Doodle-Sleeve-Power-Charger/dp/B09RPCRKBT/ref=zg_bsnr_amazon-devices_20/143-0403749-0028266?pd_rd_i=B09RPCRKBT&psc=1
50,"Amazon Kid-Friendly Tablet Stylus with Tether, Mixed 2-pack","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$14.99</span>",4.0 out of 5 stars,1,https://www.amazon.com//Amazon-Kid-Friendly-Tablet-Stylus-Tether/dp/B09WHNGL9H/ref=zg_bsnr_amazon-devices_21/143-0403749-0028266?pd_rd_i=B09WHNGL9H&psc=1
51,"NuPro Anti-Glare Screen Protector with Antimicrobial Technology for Amazon Fire 7 Tablet (12th generation, 2022 release), 2-pack","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$13.99</span>",1.0 out of 5 stars,1,https://www.amazon.com//Anti-Glare-Protector-Antimicrobial-Technology-generation/dp/B09TGJ25BW/ref=zg_bsnr_amazon-devices_22/143-0403749-0028266?pd_rd_i=B09TGJ25BW&psc=1
52,"All New, Made for Amazon, Disney Mickey Mouse Steamboat Willie-inspired stand for Amazon Echo Show 5 (1st and 2nd Gen)","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$24.99</span>",4.8 out of 5 stars,862,https://www.amazon.com//Amazon-Disney-Mickey-Steamboat-Willie-inspired/dp/B09PH3JXJT/ref=zg_bsnr_amazon-devices_23/143-0403749-0028266?pd_rd_i=B09PH3JXJT&psc=1
53,"Fire HD 8 Kids tablet, 8"" HD 32GB (Blue) + Sleeve + Power Charger","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$189.97</span>",4.7 out of 5 stars,"119,029",https://www.amazon.com//Fire-tablet-Sleeve-Power-Charger/dp/B09RPFV295/ref=zg_bsnr_amazon-devices_24/143-0403749-0028266?pd_rd_i=B09RPFV295&psc=1
54,3 Year Accident Protection Plan for Fire 7 Tablet (2022 release),"<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$8.99</span>",Not Provided,Not Provided,https://www.amazon.com//Year-Accident-Protection-Plan-Tablet/dp/B096WJM4LD/ref=zg_bsnr_amazon-devices_25/143-0403749-0028266?pd_rd_i=B096WJM4LD&psc=1
55,"All-New, Made for Amazon Soundbar Mount","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$49.99</span>",Not Provided,Not Provided,https://www.amazon.com//All-New-Made-Amazon-Soundbar-Mount/dp/B09PPSSYC7/ref=zg_bsnr_amazon-devices_26/143-0403749-0028266?pd_rd_i=B09PPSSYC7&psc=1
56,"Fire HD 8 Kids tablet, 8"" HD 32GB (Pink) + Sleeve + Power Charger","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$189.97</span>",4.7 out of 5 stars,"119,029",https://www.amazon.com//Fire-tablet-Sleeve-Power-Charger/dp/B09RPFTPGZ/ref=zg_bsnr_amazon-devices_27/143-0403749-0028266?pd_rd_i=B09RPFTPGZ&psc=1
57,"Fire HD 10 Kids Tablet, 10.1"" HD (32GB, Lavender) with Backpack + Portable Charger","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$259.97</span>",4.7 out of 5 stars,"14,536",https://www.amazon.com//Tablet-Lavender-Backpack-Portable-Charger/dp/B09ZQ8H2JD/ref=zg_bsnr_amazon-devices_28/143-0403749-0028266?pd_rd_i=B09ZQ8H2JD&psc=1
58,"All-new Fire 7 tablet, 7” display, 32 GB, latest model (2022 release), Rose, without lockscreen ads","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$94.99</span>",3.8 out of 5 stars,19,https://www.amazon.com//Fire-7-Tablet/dp/B09Z9RK5TT/ref=zg_bsnr_amazon-devices_29/143-0403749-0028266?pd_rd_i=B09Z9RK5TT&psc=1
59,All-new Echo Dot (4th Gen) Charcoal with Battery Base,"<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$69.98</span>",4.7 out of 5 stars,"471,647",https://www.amazon.com//All-new-Echo-Charcoal-Battery-Base/dp/B0B5817MPW/ref=zg_bsnr_amazon-devices_30/143-0403749-0028266?pd_rd_i=B0B5817MPW&psc=1
